epoch	time	lr	train loss	train acc	testloss	test acc
0	0:0	0.1	2.25	18.7	2.14	22.9
1	0:0	0.1	2.01	25.6	1.94	30.0
2	0:0	0.1	1.88	30.9	1.85	33.7
3	0:0	0.1	1.82	33.5	1.77	35.1
4	0:0	0.1	1.78	34.8	1.75	36.8
5	0:0	0.1	1.75	36.1	1.75	37.2
6	0:0	0.1	1.72	37.2	1.76	37.9
7	0:0	0.1	1.7	38.2	1.7	38.3
8	0:0	0.1	1.69	38.7	1.78	36.5
9	0:0	0.1	1.67	39.4	1.69	39.2
10	0:0	0.1	1.66	39.5	1.71	39.6
11	0:0	0.1	1.65	40.0	1.68	40.2
12	0:0	0.1	1.63	41.0	1.66	41.0
13	0:0	0.1	1.62	41.4	1.64	40.9
14	0:0	0.1	1.62	41.7	1.59	43.0
15	0:0	0.1	1.61	41.7	1.69	39.9
16	0:0	0.1	1.6	42.4	1.62	42.0
17	0:0	0.1	1.59	42.3	1.58	43.2
18	0:0	0.1	1.59	42.8	1.6	42.4
19	0:0	0.1	1.58	43.0	1.6	43.0
20	0:0	0.1	1.57	43.3	1.59	43.0
21	0:0	0.1	1.57	43.2	1.63	42.2
22	0:0	0.1	1.57	43.3	1.63	41.6
23	0:0	0.1	1.56	43.8	1.57	44.2
24	0:0	0.1	1.56	44.0	1.56	44.4
25	0:0	0.1	1.56	43.8	1.54	44.5
26	0:0	0.1	1.55	44.0	1.55	44.8
27	0:0	0.1	1.55	44.4	1.55	44.4
28	0:0	0.1	1.54	44.6	1.56	44.3
29	0:0	0.1	1.54	44.5	1.56	44.5
30	0:0	0.001	1.5	46.1	1.47	48.0
31	0:0	0.01	1.48	46.8	1.46	47.5
32	0:0	0.01	1.47	47.3	1.46	48.4
33	0:0	0.01	1.48	46.8	1.46	47.9
34	0:0	0.01	1.48	46.9	1.45	47.9
35	0:0	0.01	1.47	47.3	1.46	48.0
36	0:0	0.01	1.47	47.1	1.45	47.6
37	0:0	0.01	1.47	47.2	1.46	48.3
38	0:0	0.01	1.47	47.3	1.46	47.5
39	0:0	0.01	1.46	47.9	1.45	47.8
40	0:0	0.01	1.47	47.5	1.45	48.2
41	0:0	0.01	1.47	47.3	1.45	48.6
42	0:0	0.01	1.47	47.4	1.45	47.6
43	0:0	0.01	1.46	47.7	1.44	48.3
44	0:0	0.01	1.46	47.5	1.45	48.2
45	0:0	0.01	1.47	47.5	1.45	48.8
46	0:0	0.01	1.46	47.4	1.44	49.1
47	0:0	0.01	1.46	47.7	1.44	48.5
48	0:0	0.01	1.46	47.7	1.46	47.5
49	0:0	0.01	1.45	47.7	1.44	48.1
50	0:0	0.01	1.46	47.9	1.44	48.4
51	0:0	0.01	1.46	47.6	1.43	49.0
52	0:0	0.01	1.45	47.9	1.45	48.7
53	0:0	0.01	1.46	47.6	1.45	47.9
54	0:0	0.01	1.45	48.1	1.44	48.5
55	0:0	0.01	1.45	47.9	1.44	48.2
56	0:0	0.01	1.45	47.9	1.44	48.6
57	0:0	0.01	1.45	48.0	1.45	48.8
58	0:0	0.01	1.45	48.2	1.44	48.3
59	0:0	0.01	1.45	48.1	1.44	48.4
60	0:0	0.0001	1.44	48.4	1.44	48.7
61	0:0	0.001	1.44	48.5	1.44	48.5
62	0:0	0.001	1.43	48.4	1.43	49.2
63	0:0	0.001	1.44	48.4	1.44	49.2
64	0:0	0.001	1.43	48.7	1.43	48.8
65	0:0	0.001	1.43	48.7	1.43	48.8
66	0:0	0.001	1.43	48.7	1.43	49.3
67	0:0	0.001	1.43	48.9	1.42	49.6
68	0:0	0.001	1.44	48.6	1.44	49.0
69	0:0	0.001	1.44	48.7	1.43	48.5
70	0:0	0.001	1.44	48.7	1.43	49.1
71	0:0	0.001	1.43	48.5	1.44	49.1
72	0:0	0.001	1.44	48.3	1.41	49.5
73	0:0	0.001	1.43	48.6	1.43	49.4
74	0:0	0.001	1.43	48.5	1.44	48.6
75	0:0	0.001	1.43	48.6	1.43	49.2
76	0:0	0.001	1.43	48.9	1.43	48.6
77	0:0	0.001	1.43	48.9	1.43	48.4
78	0:0	0.001	1.43	48.6	1.43	49.0
79	0:0	0.001	1.43	48.7	1.43	49.5
80	0:0	0.001	1.43	48.6	1.44	48.2
81	0:0	0.001	1.43	48.5	1.44	49.2
82	0:0	0.001	1.43	48.5	1.43	48.2
83	0:0	0.001	1.43	48.6	1.44	48.6
84	0:0	0.001	1.44	48.5	1.43	48.0
85	0:0	0.001	1.44	48.5	1.44	48.4
86	0:0	0.001	1.43	49.0	1.42	49.6
87	0:0	0.001	1.43	48.6	1.43	49.1
88	0:0	0.001	1.43	48.8	1.43	48.5
89	0:0	0.001	1.43	48.9	1.43	48.4
